nclash,fnat,fnonnat,tm-score,lddt,lrmsd,irmsdbb,irmsdsc,distance,theta,seqid,dockq,classification,clash_fraction,structure_name,structure_index
9,0.6897,0.0476,0.6114,0.8874,1.9837,0.9138,1.8254,0.447,7.6543,50.0,0.7891,"low_id,high",0.1875,8JEL,4
15,0.7069,0.0682,0.6148,0.8878,1.4656,0.7996,1.8544,0.6896,4.5613,50.0,0.8189,"low_id,high",0.3125,8JEL,0
9,0.7414,0.0851,0.6132,0.8929,1.6358,0.7719,1.7802,0.62,5.3885,50.0,0.8321,"low_id,high",0.1875,8JEL,2
21,0.069,0.92,0.464,0.7843,25.4679,14.7168,15.3564,5.3736,147.8955,50.24,0.0598,"low_id,incorrect",0.3888888888888889,8J7E,2
24,0.0,1.0,0.4584,0.7712,26.0719,15.5765,15.942,5.4816,160.698,50.24,0.0351,"low_id,incorrect",0.4444444444444444,8J7E,3
15,0.6897,0.0476,0.6153,0.8909,1.4966,0.7702,1.7201,0.8191,4.5831,50.0,0.817,"low_id,high",0.3125,8JEL,3
11,0.7241,0.0233,0.6141,0.8927,1.5129,0.7905,1.701,0.4447,4.8674,50.0,0.8253,"low_id,high",0.22916666666666666,8JEL,1
8,0.6538,0.1707,0.608,0.8935,2.5798,1.2618,1.8372,1.3731,6.2571,51.39,0.7184,"low_id,medium",0.1702127659574468,8V52,1
27,0.0,1.0,0.4443,0.8428,32.39,14.0041,15.2509,14.8384,176.2948,51.39,0.0253,"low_id,incorrect",0.574468085106383,8V52,4
16,0.069,0.9385,0.4606,0.7843,25.1935,14.4732,15.1358,4.858,145.7726,50.24,0.0606,"low_id,incorrect",0.2962962962962963,8J7E,1
2,0.0,1.0,0.3529,0.7883,84.6022,16.4269,17.1768,72.0165,168.0192,50.0,0.0061,"low_id,incorrect",0.047619047619047616,8GH4,4
3,0.0208,0.9677,0.3704,0.7932,59.4194,10.7316,11.0376,38.8445,143.842,50.0,0.02,"low_id,incorrect",0.07142857142857142,8GH4,2
12,0.0,1.0,0.4483,0.8459,33.6077,15.9442,17.0815,13.7174,136.8588,51.39,0.023,"low_id,incorrect",0.2553191489361702,8V52,2
21,0.0,1.0,0.3876,0.8414,55.3902,28.3604,28.0678,7.518,171.0012,50.47,0.0086,"low_id,incorrect",0.5526315789473685,8CYH,1
17,0.0,1.0,0.3835,0.8404,55.7792,29.0303,28.7535,9.278,168.4921,50.47,0.0085,"low_id,incorrect",0.4473684210526316,8CYH,2
8,0.0,1.0,0.4771,0.8437,34.4788,17.5857,18.6073,9.0898,165.9923,51.39,0.0215,"low_id,incorrect",0.1702127659574468,8V52,3
18,0.0,1.0,0.3879,0.8418,55.4242,28.4088,28.0941,8.9009,170.4743,50.47,0.0086,"low_id,incorrect",0.47368421052631576,8CYH,0
24,0.2241,0.8194,0.4982,0.8036,14.7634,6.4398,7.0867,7.2642,59.4588,50.24,0.1749,"low_id,incorrect",0.4444444444444444,8J7E,0
8,0.1042,0.8438,0.3681,0.7965,59.0289,9.7508,10.584,45.7115,125.8012,50.0,0.0492,"low_id,incorrect",0.19047619047619047,8GH4,1
4,0.0,1.0,0.3772,0.7914,64.2801,14.2859,15.1203,53.8228,136.7522,50.0,0.0094,"low_id,incorrect",0.09523809523809523,8GH4,3
13,0.1724,0.8701,0.495,0.8031,14.334,6.5858,7.3877,7.6012,60.1673,50.24,0.1606,"low_id,incorrect",0.24074074074074073,8J7E,4
26,0.0,1.0,0.3851,0.8403,55.0788,28.1673,27.8783,6.9976,170.6218,50.47,0.0087,"low_id,incorrect",0.6842105263157895,8CYH,3
20,0.0,0.963,0.4328,0.8281,62.7377,13.6778,14.1846,44.0837,164.707,50.24,0.01,"low_id,incorrect",0.38461538461538464,8YX1,3
6,0.1042,0.8438,0.3723,0.798,62.0278,9.7954,10.6836,47.4605,132.3842,50.0,0.0485,"low_id,incorrect",0.14285714285714285,8GH4,0
6,0.0,1.0,0.4402,0.8209,49.6967,12.3996,13.1233,35.232,154.5763,50.24,0.0143,"low_id,incorrect",0.11538461538461539,8YX1,2
15,0.0,0.931,0.4417,0.8251,46.7276,12.604,13.3417,32.9162,152.2738,50.24,0.0153,"low_id,incorrect",0.28846153846153844,8YX1,0
7,0.0,0.8864,0.4439,0.8263,47.1802,12.128,12.8616,32.4931,162.5267,50.24,0.0155,"low_id,incorrect",0.1346153846153846,8YX1,1
2,0.0,0.9487,0.4424,0.8287,48.2896,12.2836,13.0586,33.1901,157.2273,50.24,0.0149,"low_id,incorrect",0.038461538461538464,8YX1,4
8,0.8475,0.2063,0.6391,0.8779,3.6097,0.8482,1.5979,1.7043,4.8784,50.93,0.8175,"low_id,high",0.1509433962264151,8BK2,4
13,0.0,1.0,0.3817,0.8392,55.4349,28.5689,28.2682,7.8395,170.19,50.47,0.0086,"low_id,incorrect",0.34210526315789475,8CYH,4
8,0.8644,0.15,0.6364,0.8785,4.2766,0.8617,1.389,2.7967,5.9469,50.93,0.8048,"low_id,high",0.1509433962264151,8BK2,3
10,0.7797,0.1321,0.6345,0.8811,4.0974,0.9155,1.3452,2.4194,6.5099,50.93,0.7732,"low_id,high",0.18867924528301888,8BK2,2
12,0.5,0.4091,0.5662,0.8818,6.3404,1.9788,2.4545,3.7473,16.7694,51.39,0.5025,"low_id,medium",0.2553191489361702,8V52,0
8,0.7966,0.1607,0.6364,0.8769,3.9397,1.008,1.7044,2.4426,5.1463,50.93,0.7696,"low_id,medium",0.1509433962264151,8BK2,1
44,0.0,0.6531,0.4054,0.8585,29.0808,17.4034,17.6714,24.2523,53.2947,51.66,0.0287,"low_id,incorrect",0.9777777777777777,8RZ2,2
9,0.8305,0.1552,0.6392,0.875,3.6867,0.8545,1.6691,2.0489,4.9724,50.93,0.8091,"low_id,high",0.16981132075471697,8BK2,0
0,0.0,,0.3328,0.7696,51.5362,24.9004,25.3425,43.9095,165.3883,51.16,0.01,"low_id,incorrect",0.0,8TLM,0
21,0.0,0.8462,0.3722,0.8627,32.9792,16.0227,16.902,29.6121,73.9132,51.66,0.0237,"low_id,incorrect",0.4666666666666667,8RZ2,0
17,0.0,0.9512,0.3712,0.8626,33.609,16.0639,16.6824,31.3113,55.0996,51.66,0.0229,"low_id,incorrect",0.37777777777777777,8RZ2,4
28,0.0,0.75,0.4084,0.8608,28.4843,17.342,17.6294,22.611,56.2121,51.66,0.0297,"low_id,incorrect",0.6222222222222222,8RZ2,1
0,0.0,,0.3123,0.7839,42.6461,19.6934,19.9821,40.7755,57.8039,51.16,0.0147,"low_id,incorrect",0.0,8TLM,1
0,0.0,,0.3372,0.7749,44.1101,20.1578,21.0879,37.2576,119.1291,51.16,0.0138,"low_id,incorrect",0.0,8TLM,2
0,0.0,,0.3274,0.7368,51.5467,21.2819,22.0125,44.1721,153.1625,51.16,0.0105,"low_id,incorrect",0.0,8TLM,3
0,0.0,,0.3468,0.76,36.2157,18.0256,18.4927,34.882,39.9628,51.16,0.0197,"low_id,incorrect",0.0,8TLM,4
24,0.0,1.0,0.4056,0.8586,28.942,17.3644,17.8139,17.6031,63.7829,51.66,0.0289,"low_id,incorrect",0.5333333333333333,8RZ2,3
5,0.0,0.9756,0.4597,0.7949,49.9974,23.7329,24.3793,28.9393,128.4585,50.47,0.0107,"low_id,incorrect",0.07936507936507936,8T9Z,3
17,0.0,1.0,0.4954,0.7976,48.0085,19.7267,19.9129,24.8959,119.1476,50.47,0.012,"low_id,incorrect",0.2698412698412698,8T9Z,0
2,0.0,0.9714,0.4558,0.7971,48.3817,23.7355,24.3196,27.3061,128.3615,50.47,0.0113,"low_id,incorrect",0.031746031746031744,8T9Z,2
7,0.0,1.0,0.4596,0.7976,48.1665,17.5212,18.3224,25.5133,124.4201,50.47,0.0125,"low_id,incorrect",0.1111111111111111,8T9Z,4
8,0.0,1.0,0.4548,0.797,54.1342,25.2857,25.5432,33.4946,122.7998,50.47,0.0092,"low_id,incorrect",0.12698412698412698,8T9Z,1
